observed_Vp,observed_Vs,observed_rho,observed_phi,GD1_Vp,GD1_Vs,GD1_rho,GD1_phi,GD_Vp,GD_Vs,GD_rho,GD_phi
6043.228973,3042.963772,2672.947682,0.026220557,6187.224791,3075.211828,2649.224588,0.021126499,6407.627505,3087.96639,2663.743659,0.018543231
5520.540849,2748.198094,2628.345598,0.039742058,5189.86778,2681.310312,2613.763701,0.039076128,5798.522769,2615.307726,2610.799267,0.023315703
6446.580893,3022.173589,2652.366103,0.0103904,6148.60005,3078.711613,2657.688006,0.017361985,6327.324375,2962.847494,2624.677484,0.012719525
3566.173304,2050.362732,2404.987127,0.152047251,3714.61337,2066.368848,2402.441106,0.126817062,3576.154583,2032.400744,2408.031762,0.149332652
3663.133056,1991.766771,2404.809398,0.128271502,3688.226468,2023.906311,2409.917774,0.126541555,3714.948937,2050.28773,2405.835492,0.120106309
3457.334954,1914.06999,2345.519486,0.165329348,3378.926281,1979.21009,2366.281212,0.174146422,3447.918188,1858.962367,2354.710009,0.170843288
5736.81427,3140.136889,2672.115423,0.034036424,6123.843712,2972.309068,2668.646247,0.025009516,6148.40694,3214.575156,2651.454316,0.023091203
5524.139957,3088.006287,2605.406656,0.041861077,5694.530428,2885.320633,2548.343719,0.019215276,5523.748625,2859.901098,2584.834269,0.035556726
6570.412747,3138.862106,2640.320833,0.008614389,6052.79472,2964.237511,2650.907307,0.011497531,6179.943326,2900.803862,2621.231765,0.012744495
3621.157073,2060.485152,2430.209966,0.141945791,3747.942186,1909.24668,2395.842608,0.122211986,3668.814162,2051.214287,2419.750348,0.146685305
